GOVERNMENT HOSPITALS 
7.920429,124.191007	BALINDONG MUNICIPAL HOSPITAL
17.1513600,120.5387600	ILOCOS DISTRICT HOSPITAL-SALCEDO
17.1056300,120.4557300	ILOCOS SUR DISTRICT HOSPITAL SANTA LUCIA
17.8541600,120.4548700	ILOCOS SUR DISTRICT HOSPITAL - SINAIT
16.9219700,120.4604000	ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN
16.3467200,120.3635300	LA UNION MEDICAL CENTER
16.7256921,120.3506005	BACNOTAN DISTRICT HOSPITAL
16.7762500,120.4124100	BALAOAN DISTRICT HOSPITAL
16.4297500,120.3467200	CABA MEDICARE COMMUNITY HOSPITAL
16.5912500,120.3188800	ILOCOS TRAINING AND REGIONAL MEDICAL CENTER
16.5298700,120.3919900	NAGUILIAN DISTRICT HOSPITAL
16.2246800,120.4732200	ROSARIO DISTRICT HOSPITAL
16.0484000,120.3412500	REGION I MEDICAL CENTER
16.0167350,120.6745110	ASINGAN COMMUNITY HOSPITAL
15.8086500,120.4434900	BAYAMBANG DISTRICT HOSPITAL
16.2677833,119.8788833	BOLINAO MEDICARE COMMUNITY HOSPITAL
15.7288865,120.3324811	WESTERN PANGASINAN DISTRICT HOSPITAL
15.9738300,120.5780300	URDANETA DISTRICT HOSPITAL
15.9915000,119.8791900	DASOL COMMUNITY HOSPITAL
16.0255207,120.1467097	LABRADOR MUNICIPAL HOSPITAL
16.0184500,120.2299400	LINGAYEN DISTRICT HOSPITAL
15.9207200,120.4268200	MALASIQUI MUNICIPAL HOSPITAL
16.0362100,120.4832900	MANAOAG COMMUNITY HOSPITAL
15.7420800,120.3257000	MANGATAREM DISTRICT HOSPITAL
16.0244200,120.4562800	MAPANDAN COMMUNITY HOSPITAL
16.1064700,120.5401500	POZORRUBIO COMMUNITY HOSPITAL
15.9543400,120.3494800	PANGASINAN PROVINCIAL HOSPITAL
16.0195000,120.7424300	EASTERN PANGASINAN DISTRICT HOSPITAL
15.9275000,120.8398200	UMINGAN COMMUNITY HOSPITAL
20.4504200,121.9707700	BATANES GENERAL HOSPITAL
20.7863600,121.8403800	ITBAYAT DISTRICT HOSPITAL
20.3331000,121.8739600	SABTANG COMMUNITY HOSPITAL
18.4446600,121.4570700	ABULUG MUNICIPAL HOSPITAL
17.9057400,121.6553600	ALCALA MUNICIPAL HOSPITAL
18.2960190,121.5522130	APARRI MEDICARE COMMUNITY HOSPITAL
18.3141470,121.6699130	APARRI DISTRICT HOSPITAL
17.8755040,121.9004380	BAGGAO DISTRICT HOSPITAL
17.9349750,121.7685120	BAGGAO MEDICARE COMMUNITY HOSPITAL
17.9641030,121.9368210	BAGGAO MUNICIPAL HOSPITAL
18.4177000,121.5009500	BALLESTEROS DISTRICT HOSPITAL
18.2412200,121.6832800	MATILDE OLIVAS DISTRICT HOSPITAL
18.0362000,121.7333100	GATTARAN EMERGENCY HOSPITAL
18.0619900,121.6417600	DR. TOMAS L. NOLASCO SR. MEMORIAL HOSPITAL
18.2578800,121.9968400	ALFONSO PONCE ENRILE MEMORIAL HOSPITAL
18.0635100,121.6096300	LASAM DISTRICT HOSPITAL
17.7917200,121.4767900	NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL
18.5849700,121.1631440	NORTHERN CAGAYAN DISTRICT HOSPITAL
18.4581200,122.1435700	SANTA ANA COMMUNITY HOSPITAL
17.7519450,121.4409220	TUAO DISTRICT HOSPITAL
17.6138080,121.7074310	TUGUEGARAO CITY PEOPLES GENERAL HOSPITAL
17.6571600,121.7460300	CAGAYAN VALLEY MEDICAL CENTER
17.4280600,121.7601900	MILAGROS ALBANO DISTRICT HOSPITAL
16.9185700,121.7682600	CAUAYAN DISTRICT HOSPITAL
16.6780200,121.5530240	SOUTHERN ISABELA GENERAL HOSPITAL
17.3001090,121.7926050	DELFIN ALBANO COMMUNITY HOSPITAL
16.6900100,121.6440000	ECHAGUE DISTRICT HOSPITAL
17.0748510,121.8529430	CAMP MELCHOR F. DELA CRUZ STATION HOSPITAL
17.0847470,121.9553950	SAN ANTONIO MUNICIPAL HOSPITAL
17.1322300,121.8685900	GOVERNOR FAUSTINO N. DY SR. MEMORIAL HOSPITAL
16.5695700,121.6985600	PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL
17.0651200,122.4251800	PALANAN STATION HOSPITAL
17.3120600,121.6022000	QUEZON COMMUNITY INFIRMARY
17.0858000,121.6172100	MANUEL A. ROXAS DISTRICT HOSPITAL
16.9824100,122.0140800	SAN MARIANO COMMUNITY HOSPITAL
16.8815400,121.5843700	SAN MATEO INTEGRATED COMMUNITY HOSPITAL
17.4628560,121.7565870	ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL
17.3205010,121.8034780	TUMAUINI COMMUNITY HOSPITAL
16.3703200,121.0997200	NUEVA VIZCAYA PROVINCIAL HOSPITAL
16.4952040,121.0879810	VETERANS REGIONAL HOSPITAL
16.6605380,121.3688650	DIADI EMERGENCY HOSPITAL
16.3070410,121.1008230	DUPAX DISTRICT HOSPITAL
16.3011400,121.2942600	KASIBU MUNICIPAL HOSPITAL
16.3617500,120.8887400	LIEUTENANT TIDANG MEMORIAL HOSPITAL
16.4841550,121.6203280	AGLIPAY DISTRICT HOSPITAL
16.5341900,121.5214800	QUIRINO PROVINCIAL MEDICAL CENTER
16.5945470,121.5068200	DIFFUN DISTRICT HOSPITAL
16.3285800,121.6590200	MADDELA MUNICIPAL HOSPITAL
15.7600403,121.5624466	AURORA MEMORIAL HOSPITAL
16.2743893,122.1173477	CASIGURAN DISTRICT HOSPITAL
15.3941202,121.3878174	DINGALAN COMMUNITY HOSPITAL
15.7967596,121.4776611	MARIA AURORA COMMUNITY HOSPITAL
14.6072502,120.4019928	BAGAC COMMUNITY AND MEDICARE HOSPITAL
14.6781797,120.5299911	BATAAN GENERAL HOSPITAL
14.8688002,120.4608231	JOSE C. PAYUMO JR. MEMORIAL HOSPITAL
14.4305401,120.4842606	MARIVELES MENTAL HOSPITAL
14.7899399,120.5354919	ORANI DISTRICT HOSPITAL
14.9559698,120.9016495	MARCELO HOSPITAL OF BALIWAG
14.9696398,120.9133606	BALIUAG DISTRICT HOSPITAL
14.7928696,120.8796921	GREGORIO DEL PILAR DISTRICT HOSPITAL
14.9535799,120.9195175	BUSTOS COMMUNITY HOSPITAL
14.9074802,120.7710419	CALUMPIT DISTRICT HOSPITAL
14.8406897,120.8011932	MALOLOS SAN ILDEFONSO COUNTY HOSPITAL
14.8587103,120.8161697	BULACAN MEDICAL CENTER
14.8536901,121.0578613	OSPITAL NG LUNGSOD NG SAN JOSE DEL MONTE
14.8349705,120.8912582	OSPITAL NG GUIGUINTO
14.8365898,120.7338333	EMILIO G. PEREZ MEMORIAL HOSPITAL
14.9051304,121.0429916	NORZAGARAY MUNICIPAL HOSPITAL
15.117309,121.0045	SAN MIGUEL DISTRICT HOSPITAL
14.8184500,120.9601822	ROGACIANO M. MERCADO MEMORIAL HOSPITAL
15.6204100,121.1479263	BONGABON DISTRICT HOSPITAL
15.4766670,120.9579370	M. V. GALLEGO CABANATUAN CITY GENERAL HOSPITAL
15.4890499,120.9724808	DR. PAULINO J. GARCIA MEMORIAL RESEARCH AND MEDICAL CENTER
15.5047750,120.9743170	EDUARDO L. JOSON MEMORIAL HOSPITAL
15.9636602,121.0641174	CARRANGLAN MEDICARE AND COMMUNITY HOSPITAL
15.2912230,120.9510430	GAPAN DISTRICT HOSPITAL
15.4534130,121.3415800	GABALDON MEDICARE COMMUNITY HOSPITAL
15.3629240,121.0456240	GENERAL TINIO MEDICARE COMMUNITY HOSPITAL
15.6911410,120.7265180	GUIMBA DISTRICT HOSPITA
15.4384699,121.0825882	FORT MAGSAYSAY ARMY STATION HOSPITAL
15.3219600,120.8783600	SAN ANTONIO DISTRICT HOSPITAL
15.8072400,121.0000100	SAN JOSE CITY GENERAL HOSPITAL
15.5915620,120.8757690	SANTO DOMINGO DISTRICT HOSPITAL
15.7347603,120.9288406	CENTRAL LUZON STATE UNIVERSITY HOSPITAL
15.5844898,120.9201508	TALAVERA EXTENSION HOSPITAL
15.134068,120.594431	RAFAEL LAZATIN MEMORIAL MEDICAL CENTER
15.1818000,120.5331170	AIRFORCE CITY HOSPITAL
15.1639800,120.7778600	DR. EMIGDIO C. CRUZ SR. MEMORIAL HOSPITAL
14.9994560,120.6508720	RICARDO P. RODRIGUEZ MEMORIAL HOSPITAL (ANNEX SPECIALTY HOSPITAL)
15.0345898,120.6846085	JOSE B. LINGAD MEMORIAL HOSPITAL
15.0811667,120.6620667	RICARDO P. RODRIQUEZ MEMORIAL HOSPITAL
14.9796896,120.5013733	BASA AIR BASE HOSPITAL
14.9902090,120.5113280	ROMANA PANGAN DISTRICT HOSPITAL
14.9855600,120.6229400	DIOSDADO P. MACAPAGAL MEMORIAL HOSPITAL
14.9382400,120.5986400	ESCOLASTICA ROMERO DISTRICT HOSPITAL
15.1923300,120.5803100	MABALACAT DISTRICT HOSPITAL
14.8939000,120.7144700	DOMINGO B. FLORES DISTRICT HOSPITAL
15.2167400,120.6694900	DR. ANDRES LUCIANO JR. MEMORIAL HOSPITAL
15.0740800,120.7193700	MEXICO COMMUNITY HOSPITAL
15.0644167,120.5487500	JOSE SONGCO LAPID DISTRICT HOSPITAL
15.051401,120.79504	SAN LUIS DISTRICT HOSPITAL
15.1593580,120.0565750	CABANGAN BIRTHING CLINIC
15.6440200,120.4121500	GILBERTO O. TEODORO MEMORIAL HOSPITA
15.347899,120.596605	OSPITAL NING CAPAS
15.4750200,120.5866100	TARLAC PROVINCIAL HOSPITAL
15.318812,120.654098	DR. EUTIQUIO LL. ATANACIO JR. MEMORIAL HOSPITAL
15.3251198,120.6432533	CONCEPCION DISTRICT HOSPITAL
15.447205,120.739046	LA PAZ MEDICARE AND COMMUNITY HOSPITAL
15.667701,120.586723	LUIS TIRSO M. RIVILLA GENERAL HOSPITAL
15.4755402,120.5963364	CAMP AQUINO STATION HOSPITAL
15.6061602,119.9391708	CANDELARIA DISTRICT HOSPITAL
15.31577,119.99144	PRES. RAMON MAGSAYSAY MEMORIAL HOSPITAL
14.82667,120.27981	JAMES L. GORDON MEMORIAL HOSPITAL
14.9598799,120.1682205	SAN MARCELINO DISTRICT HOSPITAL
15.7752370,119.9112080	OSPITAL NG STA. CRUZ
13.9482300,120.7474000	DON MANUEL LOPEZ MEMORIAL DISTRICT HOSPITAL
13.7665200,121.0661900	BATANGAS MEDICAL CENTER
13.8968096,121.9143283	BAUAN GENERAL HOSPITAL
13.8313100,120.6299800	CALATAGAN MEDICARE HOSPITAL
14.0346340,120.9090310	LAUREL MEMORIAL DISTRICT HOSPITAL
13.9009600,121.0533600	MARTIN MARASIGAN MEMORIAL HOSPITAL
14.2774200,120.7335800	LAUREL MUNICIPAL HOSPITAL
14.5215500,121.2701500	BATANGAS PROVINCIAL HOSPITAL
13.9336300,121.1589700	LIPA CITY DISTRICT HOSPITAL
14.1840496,121.1076736	OSPITAL NG LIPA
14.4836000,120.9017700	FERNANDO AIR BASE HOSPITAL
13.9126900,121.3902200	LOBO MUNICIPAL HOSPITAL
14.0706500,120.6329400	APACIBLE MEMORIAL DISTRICT HOSPITAL
14.1623151,120.8760733	DR. ROMEO ISANA ROSALES GENERAL HOSPITAL
14.1526250,120.8075360	MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL
13.8864000,121.1048400	SAN JOSE DISTRICT HOSPITAL
13.8421140,121.2949230	SAN JUAN DISTRICT HOSPITAL
14.4405140,121.4064470	SANTO TOMAS MUNICIPAL HOSPITAL
14.4267598,121.2186961	BACOOR DISTRICT HOSPITAL
13.9577020,121.1577820	PAGAMUTANG BAYAN NG CARMONA
14.4814900,120.9111700	DRA. OLIVIA SALAMANCA MEMORIAL DISTRICT HOSPITAL
13.8389214,121.9831144	MAJOR DANILO ATIENZA AIR BASE HOSPITAL
14.4830900,120.9142600	CAVITE NAVAL HOSPITAL
14.3458764,120.9808849	DASMARINAS CITY MEDICAL CENTER
14.2969108,121.0065346	CARSIGMA DISTRICT HOSPITAL
14.7803942,121.9360051	GENERAL TRIAS MEDICARE HOSPITAL
14.8302197,121.9084841	KAWIT KALAYAAN HOSPITAL
14.2774200,120.7335800	CAVITE MUNICIPAL HOSPITAL
14.3279200,120.7718300	NAIC MEDICARE HOSPITAL
13.9483500,121.6102833	OSPITAL NG TAGAYTAY
14.1104330,120.9336250	TAGAYTAY MEDICARE HOSPITAL
14.0056660,121.1487950	M.V. SANTIAGO MEDICAL CENTER
14.3893805,120.9408035	GENERAL EMILIO AGUINALDO MEMORIAL HOSPITAL
14.1275780,120.7087130	LAGUNA PROVINCIAL HOSPITAL - BAY DISTRICT HOSPITAL
14.2756800,121.1262500	OSPITAL NG CABUYAO
14.1813410,120.8656220	HOLY ROSARY OF CABUYAO HOSPITAL, INC.
14.8192721,122.1224463	OSPITAL NG BIÑAN
14.4861333,121.2340500	DR. JOSE P. RIZAL MEMORIAL DISTRICT HOSPITAL
14.8225864,122.1874109	POLICE REGIONAL OFFICE 4A HOSPITAL
13.8575619,121.9705923	SAN PEDRO JOSE L. AMANTE EMERGENCY HOSPITAL
14.3662325,121.0505256	LAGUNA PROVINCIAL HOSPITAL-SAN PEDRO DISTRICT HOSPITAL
13.8884833,122.2632500	SANTA ROSA COMMUNITY HOSPITAL
13.9159833,121.8144500	UNIVERSITY HEALTH SERVICE
14.1853120,121.5090180	LUISIANA DISTRICT HOSPITAL
14.4939000,121.1772667	MAJAYJAY MEDICARE HOSPITAL
14.1304998,121.4354019	NAGCARLAN DISTRICT HOSPITAL
13.9467580,120.7249690	LAGUNA PROVINCIAL HOSPITAL - GENERAL JUAN CAILLES MEMORIAL DISTRICT HOSPITAL
14.3462400,121.0887680	LAGUNA PROVINCIAL HOSPITAL - SAN PABLO CITY DISTRICT HOSPITAL
14.4222100,120.9757400	SAN PABLO CITY GENERAL HOSPITAL
14.7301000,121.1412500	LAGUNA MEDICAL CENTER
13.9546920,120.8309140	ALABAT ISLAND DISTRICT HOSPITAL
14.5689667,121.1261167	DOÑA MARTA MEMORIAL DISTRICT HOSPITAL
13.9301100,121.4206400	CANDELARIA MUNICIPAL HOSPITAL
13.5918700,122.3251000	BONDOC PENINSULA DISTRICT HOSPITAL
13.9105840,122.4392073	GUINAYANGAN MEDICARE COMMUNITY HOSPITAL
13.7527920,121.0659570	GUMACA DISTRICT HOSPITAL
14.7475883,121.6499943	CLARO M. RECTO MEMORIAL DISTRICT HOSPITAL
13.8855967,122.2634730	MAGSAYSAY MEMORIAL DISTRICT HOSPITAL
14.2236610,120.9739380	CAMP NAKAR STATION HOSPITAL
14.6670500,121.6028667	QUEZON MEDICAL CENTER
14.1229480,121.0524660	MAUBAN DISTRICT HOSPITAL
14.1524592,121.6354625	POLILLO MEDICARE HOSPITAL
14.1524592,121.6354625	SAMPALOC MEDICARE COMMUNITY HOSPITAL
14.3148088,121.1062503	SAN FRANCISCO MUNICIPAL HOSPITAL
13.3459000,122.5198167	SAN NARCISO MUNICIPAL HOSPITAL
14.1424000,121.3164500	MARIA L. ELEAZAR MEMORIAL DISTRICT HOSPITAL
14.3281803,121.4800797	UNISAN MEDICARE COMMUNITY HOSPITAL
14.4881300,120.8963200	RIZAL PROVINCIAL HEALTH SYSTEM - ANGONO ANNEX
14.5802500,121.1138900	CAINTA MUNICIPAL HOSPITAL
14.6191700,121.1805100	RIZAL PROVINCIAL HEALTH SYSTEM-ANTIPOLO ANNEX
14.3995216,120.9240350	YNARES MUNICIPAL HOSPITAL
14.3156900,121.1216888	RIZAL PROVINCIAL HEALTH SYSTEM - MORONG MAIN
14.2768500,120.9925200	RIZAL PROVINCIAL HEALTH SYSTEM PILILLIA ANNEX
13.9405167,121.6218833	CASIMIRO A. YNARES SR. MEMORIAL HOSPITAL
14.5715001,121.4254368	ARMY STATION HOSPITAL
14.5707900,121.1314000	HONORABLE JOJO V. ZAPANTA EMERGENCY HOSPITAL
